cd_apolice,cd_cliente,dt_inicio_vigencia,dt_fim_vigencia,vl_cobertura,vl_franquia,placa
126,8742,2023-07-23 13:50:45.000,2023-12-10 13:50:45.000,940018.00,90364.00,"LCV2689   "
127,13582,2023-08-12 09:39:21.000,2024-04-05 09:39:21.000,868728.00,57582.00,"DDD6214   "
128,2750,2024-02-24 00:09:28.000,2024-04-28 00:09:28.000,385214.00,82668.00,"TBI4361   "
129,653,2023-12-24 09:25:01.000,2024-02-02 09:25:01.000,202637.00,91960.00,"OLD6991   "
130,258,2023-05-08 23:20:47.000,2024-04-20 23:20:47.000,791119.00,52293.00,"BZQ4206   "
131,14699,2024-11-06 09:33:47.000,2024-12-15 09:33:47.000,614133.00,61604.00,"BXU6004   "
132,13325,2024-03-09 10:23:28.000,2024-07-22 10:23:28.000,672863.00,71157.00,"XRE7851   "
133,3857,2025-02-13 02:25:37.000,2025-06-28 02:25:37.000,772982.00,35297.00,"OPZ0781   "
134,1767,2024-05-11 20:37:48.000,2025-02-10 20:37:48.000,698115.00,73610.00,"FNS1225   "
135,11292,2023-11-08 00:45:20.000,2023-11-25 00:45:20.000,522298.00,71566.00,"VAB0786   "
136,1957,2023-03-16 17:16:30.000,2023-06-21 17:16:30.000,105399.00,45684.00,"DPO6022   "
137,8299,2023-07-14 14:25:32.000,2023-12-05 14:25:32.000,671589.00,72422.00,"PLH8601   "
138,7080,2024-11-07 06:31:05.000,2025-09-21 06:31:05.000,143732.00,63526.00,"IMY5466   "
139,4874,2024-10-14 19:55:17.000,2025-04-08 19:55:17.000,123908.00,58671.00,"ICA1260   "
140,9129,2023-03-20 13:33:46.000,2023-08-26 13:33:46.000,783905.00,27745.00,"ARE8729   "
141,5382,2023-08-14 20:09:22.000,2024-02-27 20:09:22.000,602888.00,10282.00,"GFG9178   "
142,17409,2025-01-13 07:32:49.000,2025-12-18 07:32:49.000,466461.00,58157.00,"AEI6187   "
143,188,2023-04-29 04:29:18.000,2023-11-28 04:29:18.000,430369.00,21510.00,"KHZ5815   "
144,18961,2024-06-07 09:55:49.000,2024-07-08 09:55:49.000,894607.00,65427.00,"YVB9899   "
145,8616,2024-10-20 09:49:58.000,2024-12-06 09:49:58.000,781140.00,48664.00,"ZJP4834   "
146,3306,2023-07-22 23:22:29.000,2024-07-06 23:22:29.000,245462.00,97641.00,"BWZ1164   "
147,11132,2025-01-31 17:25:54.000,2025-12-11 17:25:54.000,988979.00,26232.00,"VTH1073   "
148,12212,2023-04-22 03:34:09.000,2023-06-29 03:34:09.000,314534.00,26858.00,"JMM3546   "
149,19930,2024-04-22 12:13:13.000,2024-08-09 12:13:13.000,864431.00,71653.00,"PIX3102   "
150,14557,2023-04-14 12:54:59.000,2024-01-30 12:54:59.000,343780.00,72098.00,"QCS9370   "
151,12913,2024-11-18 08:26:22.000,2025-02-07 08:26:22.000,491583.00,55934.00,"SKF4311   "
152,17049,2023-11-18 12:30:14.000,2024-09-03 12:30:14.000,209209.00,55615.00,"MCL4474   "
153,15408,2023-06-26 20:20:53.000,2023-12-04 20:20:53.000,154536.00,27751.00,"AOA1676   "
154,10422,2025-01-17 05:54:22.000,2025-02-20 05:54:22.000,371145.00,85961.00,"QPK9968   "
155,9201,2023-09-06 18:22:47.000,2024-06-30 18:22:47.000,428853.00,67273.00,"KXW3465   "
156,542,2024-12-09 21:43:44.000,2025-03-26 21:43:44.000,500429.00,21582.00,"GTX9712   "
157,18884,2024-12-23 11:21:03.000,2025-08-23 11:21:03.000,565151.00,88042.00,"JWE5867   "
158,17156,2023-04-25 06:04:21.000,2023-09-08 06:04:21.000,242468.00,27131.00,"KDN7259   "
159,13772,2023-09-28 23:58:36.000,2024-03-11 23:58:36.000,309519.00,94831.00,"HLG4684   "
160,4342,2024-10-11 22:53:27.000,2025-02-11 22:53:27.000,739434.00,65983.00,"OOY7008   "
161,9504,2023-08-07 01:25:03.000,2023-09-16 01:25:03.000,825051.00,81948.00,"LTI5794   "
162,16563,2023-07-29 19:49:40.000,2023-08-07 19:49:40.000,872642.00,34799.00,"DAS2580   "
163,12787,2023-10-07 07:03:33.000,2024-07-17 07:03:33.000,534867.00,82349.00,"VHZ0247   "
164,18157,2024-04-25 04:41:04.000,2024-08-05 04:41:04.000,486500.00,34206.00,"MMR7057   "
165,6188,2023-07-14 07:22:49.000,2023-10-25 07:22:49.000,167425.00,37550.00,"SXU7702   "
166,2830,2024-05-13 07:22:39.000,2024-06-03 07:22:39.000,398509.00,31424.00,"MKI9962   "
167,4816,2023-03-19 21:29:03.000,2023-03-20 21:29:03.000,812190.00,42902.00,"CLQ9341   "
168,7665,2024-08-02 11:44:34.000,2025-06-02 11:44:34.000,486188.00,80418.00,"ECZ8899   "
169,18931,2023-11-12 09:37:06.000,2024-04-29 09:37:06.000,623071.00,49390.00,"KOR7154   "
170,16044,2024-09-26 05:28:39.000,2025-03-31 05:28:39.000,536352.00,49456.00,"BBE3069   "
171,18713,2023-08-28 07:19:12.000,2024-01-08 07:19:12.000,134954.00,44556.00,"SAN9671   "
172,12599,2023-09-15 21:19:27.000,2024-02-19 21:19:27.000,245319.00,29827.00,"GHK4686   "
173,12379,2025-02-22 13:23:58.000,2026-01-22 13:23:58.000,821663.00,51957.00,"RUN7984   "
174,6841,2024-02-10 15:40:19.000,2024-12-24 15:40:19.000,595076.00,72571.00,"CRZ1699   "
175,9143,2024-06-18 20:38:28.000,2024-12-07 20:38:28.000,174422.00,14056.00,"MGA4998   "
176,4108,2024-04-06 04:41:21.000,2024-05-11 04:41:21.000,599748.00,98466.00,"RSV8432   "
177,18900,2025-02-25 21:29:52.000,2026-02-01 21:29:52.000,860773.00,40711.00,"ZVD1403   "
178,8544,2024-01-10 05:31:13.000,2024-06-11 05:31:13.000,621151.00,20527.00,"GIV0630   "
179,9513,2024-03-05 12:54:59.000,2024-09-03 12:54:59.000,726558.00,22167.00,"CXQ0027   "
180,924,2024-12-27 17:46:18.000,2025-01-05 17:46:18.000,781891.00,51300.00,"OXQ4553   "
181,18134,2023-12-08 11:46:30.000,2024-04-14 11:46:30.000,941690.00,54054.00,"RWD7963   "
182,10505,2023-12-10 01:27:12.000,2024-10-01 01:27:12.000,643244.00,70830.00,"LHX7873   "
183,16067,2024-03-28 22:27:06.000,2025-01-30 22:27:06.000,697450.00,48588.00,"CYV9533   "
184,13747,2023-06-09 06:40:14.000,2024-05-17 06:40:14.000,127261.00,15130.00,"PKG9404   "
185,5161,2024-06-01 19:25:26.000,2024-08-28 19:25:26.000,686310.00,63041.00,"ECU5889   "
186,18213,2024-05-09 22:10:49.000,2024-09-14 22:10:49.000,117053.00,74863.00,"LIM1742   "
187,14254,2023-03-26 08:30:31.000,2023-08-08 08:30:31.000,834620.00,48802.00,"CPS0977   "
188,2136,2024-04-20 05:39:07.000,2025-02-22 05:39:07.000,279919.00,45977.00,"GFA5494   "
189,11922,2024-09-22 20:16:01.000,2025-03-17 20:16:01.000,848266.00,99500.00,"EVC0075   "
190,12692,2024-12-31 13:11:34.000,2025-06-21 13:11:34.000,899032.00,75435.00,"TDI0583   "
191,10219,2023-09-21 08:37:49.000,2023-11-05 08:37:49.000,366455.00,32453.00,"MPO2413   "
192,2689,2024-06-23 14:25:10.000,2025-01-30 14:25:10.000,195331.00,53102.00,"YVQ1176   "
193,3264,2025-01-07 14:04:06.000,2025-05-08 14:04:06.000,724731.00,26299.00,"YHQ9538   "
194,16599,2024-08-04 20:47:01.000,2024-08-31 20:47:01.000,305267.00,73794.00,"TFA6377   "
195,7694,2023-07-16 10:41:09.000,2024-01-17 10:41:09.000,243540.00,53678.00,"ULR6417   "
196,582,2024-01-03 07:14:30.000,2024-05-05 07:14:30.000,473402.00,47183.00,"QBI7501   "
197,193,2023-10-04 14:17:50.000,2023-12-04 14:17:50.000,585783.00,51935.00,"CSD8219   "
198,8342,2024-02-04 14:07:13.000,2024-02-05 14:07:13.000,620765.00,90617.00,"QMG3979   "
199,238,2023-09-29 11:59:11.000,2024-01-18 11:59:11.000,680688.00,78575.00,"UTJ6188   "
200,9169,2023-09-06 22:58:06.000,2023-12-26 22:58:06.000,442461.00,24559.00,"UDU7677   "
201,7222,2024-03-31 11:56:23.000,2024-06-27 11:56:23.000,641600.00,24531.00,"XPS5077   "
202,16097,2024-03-12 17:17:57.000,2025-01-21 17:17:57.000,343231.00,27508.00,"HFW7656   "
203,129,2023-11-05 00:04:38.000,2024-08-15 00:04:38.000,542575.00,56015.00,"MRD0043   "
204,11489,2024-01-06 10:08:43.000,2024-05-18 10:08:43.000,601284.00,90974.00,"RTR0388   "
205,13538,2024-04-17 21:13:27.000,2024-09-12 21:13:27.000,667651.00,51774.00,"YWD1206   "
206,1922,2024-04-24 04:40:42.000,2024-08-06 04:40:42.000,749732.00,78302.00,"ABT5009   "
207,13876,2024-06-10 09:24:23.000,2025-02-11 09:24:23.000,371595.00,37771.00,"IUS6495   "
208,12189,2023-10-16 12:20:31.000,2024-09-06 12:20:31.000,936152.00,73196.00,"FHZ9036   "
209,19986,2023-10-02 07:25:09.000,2024-07-29 07:25:09.000,161864.00,18428.00,"NZT1330   "
210,6797,2023-09-18 01:10:09.000,2024-04-29 01:10:09.000,434230.00,68518.00,"MHE1998   "
211,16886,2023-12-04 00:54:18.000,2024-11-04 00:54:18.000,256669.00,50661.00,"YPU9350   "
212,18332,2024-05-29 18:35:58.000,2025-05-24 18:35:58.000,684927.00,47487.00,"GDZ6348   "
213,3580,2024-02-15 07:59:40.000,2024-08-29 07:59:40.000,869941.00,36472.00,"QSA6114   "
214,19101,2024-03-06 21:10:17.000,2024-12-17 21:10:17.000,330472.00,19513.00,"TEW4056   "
215,7188,2024-11-27 15:32:54.000,2025-01-21 15:32:54.000,659244.00,22424.00,"EHA5720   "
216,4965,2023-11-19 11:35:34.000,2024-09-12 11:35:34.000,404505.00,35684.00,"WSH9877   "
217,1646,2025-03-05 02:31:43.000,2025-09-02 02:31:43.000,245914.00,30075.00,"MTX6813   "
218,11716,2023-10-17 22:01:55.000,2024-03-20 22:01:55.000,693635.00,74636.00,"KZR2303   "
219,19607,2024-03-13 03:04:03.000,2024-06-06 03:04:03.000,665937.00,11971.00,"KID7061   "
220,10561,2023-05-14 14:24:10.000,2023-10-09 14:24:10.000,538128.00,34106.00,"LJZ2600   "
221,17245,2023-10-25 14:33:06.000,2024-06-04 14:33:06.000,570970.00,38187.00,"BOD9868   "
222,10291,2024-04-06 23:29:38.000,2024-07-08 23:29:38.000,174727.00,78298.00,"XMV9611   "
223,8874,2024-01-28 19:38:55.000,2024-03-05 19:38:55.000,403902.00,13515.00,"GIL6439   "
224,17048,2023-10-30 16:55:20.000,2024-01-04 16:55:20.000,859964.00,37743.00,"RIF6846   "
225,8478,2023-08-01 06:57:51.000,2023-12-08 06:57:51.000,703100.00,17888.00,"IML2285   "
226,9344,2023-06-26 06:43:23.000,2024-04-15 06:43:23.000,910032.00,23581.00,"RJJ2906   "
227,3810,2025-02-02 00:49:50.000,2025-09-01 00:49:50.000,124698.00,63231.00,"APM8090   "
228,14938,2024-11-25 21:21:54.000,2025-03-25 21:21:54.000,757986.00,22267.00,"QYO1086   "
229,13254,2024-04-05 07:26:49.000,2024-07-01 07:26:49.000,795719.00,83751.00,"OMQ8620   "
230,14582,2023-06-06 03:59:28.000,2023-06-09 03:59:28.000,862827.00,22486.00,"TPP2388   "
231,7975,2024-05-06 17:27:11.000,2024-06-04 17:27:11.000,942227.00,60222.00,"VRR1699   "
232,2822,2024-04-13 16:43:09.000,2024-08-10 16:43:09.000,457570.00,14846.00,"VKO3003   "
233,8472,2024-09-28 01:00:15.000,2024-12-01 01:00:15.000,280887.00,59953.00,"ZVZ9884   "
234,1467,2024-02-12 21:27:20.000,2024-11-07 21:27:20.000,229834.00,22292.00,"YJZ6420   "
235,8731,2023-05-28 21:38:12.000,2023-09-13 21:38:12.000,384127.00,31006.00,"DVK1592   "
236,16646,2024-05-31 19:33:07.000,2025-02-07 19:33:07.000,759604.00,25648.00,"QSO4588   "
237,1444,2023-06-16 07:22:07.000,2024-06-06 07:22:07.000,770092.00,15820.00,"UXO7643   "
238,10423,2025-01-27 06:19:50.000,2025-11-16 06:19:50.000,842043.00,38329.00,"TTM4660   "
239,856,2023-03-27 06:25:15.000,2024-02-11 06:25:15.000,769206.00,95793.00,"PUN5622   "
240,10988,2024-09-01 03:12:51.000,2025-08-17 03:12:51.000,564268.00,93100.00,"TNT0666   "
241,17879,2025-03-06 19:59:13.000,2025-10-11 19:59:13.000,395887.00,39027.00,"OTX1863   "
242,6423,2024-02-25 19:37:58.000,2024-05-19 19:37:58.000,876353.00,71826.00,"VLC0968   "
243,13144,2023-09-26 15:21:18.000,2023-11-08 15:21:18.000,682513.00,15833.00,"OCA3584   "
244,19400,2024-07-04 10:15:05.000,2024-11-25 10:15:05.000,459699.00,56485.00,"KFM0142   "
245,4541,2023-07-07 20:32:51.000,2024-02-07 20:32:51.000,710282.00,67440.00,"WJA9279   "
246,14932,2025-02-25 13:56:55.000,2025-11-08 13:56:55.000,238761.00,83611.00,"XUY7144   "
247,18183,2023-10-26 17:23:26.000,2024-06-05 17:23:26.000,531764.00,49099.00,"DSW5517   "
248,7677,2024-03-04 20:54:04.000,2024-09-07 20:54:04.000,651769.00,58856.00,"WBX0580   "
249,828,2024-07-10 21:43:04.000,2024-11-26 21:43:04.000,510604.00,85477.00,"OVT8807   "
250,9798,2023-06-17 15:30:01.000,2024-04-11 15:30:01.000,489755.00,92759.00,"IQE6569   "
251,3415,2023-10-28 15:35:02.000,2024-09-19 15:35:02.000,848208.00,82461.00,"NEK3188   "
252,3717,2024-11-15 03:36:55.000,2025-11-01 03:36:55.000,637044.00,35146.00,"VVT7183   "
253,3274,2024-03-19 17:23:47.000,2024-10-31 17:23:47.000,353878.00,30129.00,"GEN0355   "
254,19779,2024-12-22 23:53:08.000,2025-10-26 23:53:08.000,293121.00,64108.00,"PIE5425   "
255,1487,2024-12-22 15:39:41.000,2025-01-23 15:39:41.000,405947.00,80346.00,"EUT6973   "
256,6963,2024-05-05 04:09:49.000,2024-09-02 04:09:49.000,717176.00,87212.00,"QQV3000   "
